epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.06303,1.21138,2.56909,3.0555,1.20322,0.00146,0.11667,0.01,0.00375,0.00014,0.01111,0.0084,0.00185,2.24645,22.7637,4.2723,2.01682,0.0677857,0.000325397,0.000325397
2,13.079,1.18997,2.19349,2.15821,1.20606,0.10295,0.00556,0.0435,0.02377,0.10295,0.00556,0.04252,0.0149,1.52453,6.86096,3.86388,1.26156,0.0347792,0.000652209,0.000652209
3,18.8633,1.2023,2.08774,1.76108,1.1827,0.18037,0.13333,0.09188,0.04798,0.13364,0.11667,0.06096,0.03742,1.72923,3.70148,2.95259,1.37501,0.00176607,0.000972421,0.000972421
4,24.8899,1.15451,1.9684,1.66147,1.19455,0.20248,0.17222,0.11769,0.08482,0.19056,0.16111,0.09347,0.05454,1.4475,4.60876,2.95461,1.22396,0.0009703,0.0009703,0.0009703
5,30.4635,1.18955,1.92526,1.70689,1.19404,0.24711,0.16667,0.15263,0.09956,0.30505,0.15556,0.15949,0.10763,1.53102,4.12445,2.69771,1.23554,0.0009604,0.0009604,0.0009604
6,36.1941,1.12896,1.83091,1.61057,1.21994,0.7261,0.12222,0.11588,0.07294,0.7261,0.12222,0.11533,0.07888,1.5979,4.59412,2.99739,1.32394,0.0009505,0.0009505,0.0009505
7,41.98,1.10072,1.75985,1.52378,1.17353,0.3897,0.16111,0.17985,0.12587,0.3897,0.16111,0.19246,0.12927,1.58315,4.23798,2.45028,1.35021,0.0009406,0.0009406,0.0009406
8,47.5111,1.10885,1.66978,1.44615,1.12875,0.26724,0.21116,0.17539,0.11865,0.27901,0.22145,0.17486,0.12073,1.48863,4.10706,2.42547,1.3151,0.0009307,0.0009307,0.0009307
9,53.2837,1.01884,1.57187,1.46817,1.13414,0.40712,0.20101,0.16562,0.11167,0.42602,0.20657,0.1673,0.11482,1.60251,3.48633,3.08603,1.33787,0.0009208,0.0009208,0.0009208
10,59.0889,1.05547,1.57442,1.33917,1.12772,0.26537,0.21212,0.15996,0.10217,0.4139,0.20101,0.1746,0.11435,1.59331,3.47443,2.92655,1.3314,0.0009109,0.0009109,0.0009109
